combination_id,product_name,Size,Paper Type,Window,Printed Side,Quantity,Printing Time,price,total_price,unit_price,qty_pieces,turnaround_days,Size_id,Paper Type_id,Window_id,Printed Side_id,Quantity_id,Printing Time_id,timestamp,notes
51,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"8,000",6 Business Days,$514.12,$514.12,0.06427,8000,0,35162,626,35057,627,636,642,2025-09-02T17:25:58.908767,Extracted using real API endpoints
52,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"8,000",4 Business Days,$514.12,$514.12,0.06427,8000,0,35162,626,35057,627,636,35240,2025-09-02T17:25:59.314567,Extracted using real API endpoints
53,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"9,000",6 Business Days,$557.06,$557.06,0.06190,9000,0,35162,626,35057,627,637,642,2025-09-02T17:25:59.731162,Extracted using real API endpoints
54,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"9,000",4 Business Days,$557.06,$557.06,0.06190,9000,0,35162,626,35057,627,637,35240,2025-09-02T17:26:00.129752,Extracted using real API endpoints
55,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"10,000",6 Business Days,$600.01,$600.01,0.06000,10000,0,35162,626,35057,627,638,642,2025-09-02T17:26:00.541335,Extracted using real API endpoints
56,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"10,000",4 Business Days,$600.01,$600.01,0.06000,10000,0,35162,626,35057,627,638,35240,2025-09-02T17:26:00.938404,Extracted using real API endpoints
57,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"15,000",6 Business Days,$808.13,$808.13,0.05388,15000,0,35162,626,35057,627,640,642,2025-09-02T17:26:01.339442,Extracted using real API endpoints
58,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"15,000",4 Business Days,$808.13,$808.13,0.05388,15000,0,35162,626,35057,627,640,35240,2025-09-02T17:26:01.737787,Extracted using real API endpoints
59,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"20,000",6 Business Days,$1012.30,$1012.30,0.05062,20000,0,35162,626,35057,627,641,642,2025-09-02T17:26:02.142000,Extracted using real API endpoints
60,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,Yes,Outside Only,"20,000",4 Business Days,$1012.30,$1012.30,0.05062,20000,0,35162,626,35057,627,641,35240,2025-09-02T17:26:02.550541,Extracted using real API endpoints
