combination_id,product_name,Size,Material,Printed Side,Quantity,Printing Time,price,total_price,unit_price,qty_pieces,turnaround_days,Size_id,Material_id,Printed Side_id,Quantity_id,Printing Time_id,timestamp,notes
55,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"3,000",6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1782,1909,2025-09-01T17:46:08.421695,Extracted using real API endpoints
56,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"3,000",4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1782,1792,2025-09-01T17:46:09.365314,Extracted using real API endpoints
57,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"4,000",6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1784,1909,2025-09-01T17:46:09.696822,Extracted using real API endpoints
58,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"4,000",4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1784,1792,2025-09-01T17:46:10.023598,Extracted using real API endpoints
59,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"5,000",6 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1786,1909,2025-09-01T17:46:10.353344,Extracted using real API endpoints
60,Business Card Magnets,"2"" x 2"" (Mini Square)",17 pt. Magnet High Gloss (UV),Front Only,"5,000",4 Business Days,$20.00,$20.00,0.00000,0,0,66315,2488,1769,1786,1792,2025-09-01T17:46:10.697342,Extracted using real API endpoints
61,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,25,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1772,1909,2025-09-01T17:46:11.032819,Extracted using real API endpoints
62,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,25,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1772,1792,2025-09-01T17:46:11.758481,Extracted using real API endpoints
63,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,50,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1773,1909,2025-09-01T17:46:12.076684,Extracted using real API endpoints
64,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,50,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1773,1792,2025-09-01T17:46:12.403018,Extracted using real API endpoints
65,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,75,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,18464,1909,2025-09-01T17:46:12.731071,Extracted using real API endpoints
66,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,75,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,18464,1792,2025-09-01T17:46:13.063365,Extracted using real API endpoints
67,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,100,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1774,1909,2025-09-01T17:46:13.396335,Extracted using real API endpoints
68,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,100,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1774,1792,2025-09-01T17:46:13.725808,Extracted using real API endpoints
69,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,150,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1945,1909,2025-09-01T17:46:14.063552,Extracted using real API endpoints
70,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,150,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1945,1792,2025-09-01T17:46:14.387450,Extracted using real API endpoints
71,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,200,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1946,1909,2025-09-01T17:46:14.719977,Extracted using real API endpoints
72,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,200,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1946,1792,2025-09-01T17:46:15.047531,Extracted using real API endpoints
73,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,250,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1776,1909,2025-09-01T17:46:15.377218,Extracted using real API endpoints
74,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,250,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1776,1792,2025-09-01T17:46:15.746912,Extracted using real API endpoints
